model,label,old_rows,new_rows,old_Accuracy,new_Accuracy,Delta Accuracy
gaunernst/gemma-3-12b-it-int4-awq,vic_grupo_social,483,403,0.32919254658385094,0.4292803970223325,0.10008785043848156
gaunernst/gemma-3-12b-it-int4-awq,captura_tipo,483,403,0.2236024844720497,0.315136476426799,0.09153399195474929
gaunernst/gemma-3-12b-it-int4-awq,desenlace,483,403,0.6066252587991718,0.7295285359801489,0.12290327718097704
hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,vic_grupo_social,575,373,0.43478260869565216,0.3967828418230563,-0.037999766872595875
hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,captura_tipo,575,373,0.22956521739130434,0.34316353887399464,0.1135983214826903
hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,desenlace,575,373,0.4782608695652174,0.5495978552278821,0.07133698566266466
mistralai/Ministral-3-8B-Instruct-2512,vic_grupo_social,575,370,0.39652173913043476,0.43243243243243246,0.0359106933019977
mistralai/Ministral-3-8B-Instruct-2512,captura_tipo,575,370,0.3130434782608696,0.34324324324324323,0.030199764982373645
mistralai/Ministral-3-8B-Instruct-2512,desenlace,575,370,0.4591304347826087,0.7567567567567568,0.2976263219741481
